STIX ID,Type,Product/Service Name,Description,Short Description,Created,Modified,spec_version,x_mitre_is_subtechnique,x_mitre_parent_ref,x_mitre_aliases,External References,External ID,URL
products-service--cd6eb959-cd38-4f9c-9490-98eee3ca8f9c,products-service,Over-the-Counter (OTC) Trading,"A service enabling direct transactions in financial instruments between two parties outside formal exchanges. It includes trading in derivatives, stocks, bonds, and digital currencies and is typically facilitated by specialized brokers or OTC desks. These trades often involve large volumes, negotiated pricing, and greater confidentiality than exchange-based transactions, offering flexibility in terms and structures.","Over-the-Counter (OTC) Trading facilitates large-volume, off-exchange transactions with negotiated pricing and greater confidentiality. In the context of AML/CFT, its limited transparency and reliance on specialized brokers or desks can present heightened risk, potentially enabling illicit activity if not adequately monitored.",2025-05-13T07:47:20.076886+00:00,2025-05-13T07:47:20.076886+00:00,2.1,False,,,"[
  {
    ""source_name"": ""amltrix-ml"",
    ""external_id"": ""PS0001"",
    ""url"": ""https://framework.amltrix.com/services-products/PS0001""
  }
]",PS0001,https://framework.amltrix.com/services-products/PS0001
products-service--74dd9dd7-3280-4627-9225-2ece78ad5146,products-service,Citizenship-by-Investment Programs,"Government-led programs that grant citizenship in return for a qualifying investment, typically involving real estate purchases, government fund contributions, or investments in local businesses. Specialized legal and advisory firms support individuals and businesses through the process.","Citizenship-by-Investment Programs grant legal citizenship to individuals who make qualifying investments in a host country and are facilitated by specialized legal and advisory firms. In AML/CFT adversarial threat modelling, these programs can be exploited by illicit actors to secure alternative identities, obscure ownership structures, and launder illicit proceeds.",2025-05-13T07:47:20.076886+00:00,2025-05-13T07:47:20.077499+00:00,2.1,False,,,"[
  {
    ""source_name"": ""amltrix-ml"",
    ""external_id"": ""PS0002"",
    ""url"": ""https://framework.amltrix.com/services-products/PS0002""
  }
]",PS0002,https://framework.amltrix.com/services-products/PS0002
products-service--07d21580-529b-4228-bfe4-7a1cfc6eb833,products-service,Documentary Collection,"A trade finance mechanism in which banks facilitate the collection of payments for goods in international trade. The exporter's bank forwards shipping and title documents to the importer's bank, which releases them only upon payment or acceptance of a draft, ensuring a structured and secure settlement process.","Documentary Collection is a structured trade finance mechanism in which banks facilitate the controlled exchange of shipping and title documents contingent on payment or acceptance of a draft. In AML/CFT threat modeling, it adds a layer of due diligence by verifying documents and payment flows, yet may be exploited through falsified documentation or misrepresented trade transactions.",2025-05-13T07:47:20.077499+00:00,2025-05-13T07:47:20.077499+00:00,2.1,False,,,"[
  {
    ""source_name"": ""amltrix-ml"",
    ""external_id"": ""PS0003"",
    ""url"": ""https://framework.amltrix.com/services-products/PS0003""
  }
]",PS0003,https://framework.amltrix.com/services-products/PS0003
products-service--d681ff24-9e2a-4218-b90d-656cfc47585c,products-service,Business Banking Services,"A suite of financial services provided by banks to businesses, encompassing account management, transaction processing, and trade support.","Business Banking Services provide businesses with account management, transaction processing, and trade support, creating opportunities for adversaries to move and hide illicit funds. Robust AML/CFT controls are essential to monitor and mitigate potential abuse within these multifaceted offerings.",2025-05-13T07:47:20.077499+00:00,2025-05-13T07:47:20.077499+00:00,2.1,False,,,"[
  {
    ""source_name"": ""amltrix-ml"",
    ""external_id"": ""PS0004"",
    ""url"": ""https://framework.amltrix.com/services-products/PS0004""
  }
]",PS0004,https://framework.amltrix.com/services-products/PS0004
products-service--a0a7c8ea-1673-4c44-9e44-8d94d56666c6,products-service,Securities Brokerage,"Financial services provided by brokerage firms that enable individuals and entities to buy, sell, and hold various securities—such as stocks, bonds, mutual funds, and other investment products. Clients typically open brokerage accounts for self-directed or managed trading, with brokers facilitating trade execution, clearing, and related administrative functions.","Securities brokerage provides individuals and entities with the infrastructure to transact in a range of financial instruments, creating potential channels for layering and integration in money laundering schemes. Strong oversight, KYC measures, and transaction monitoring are essential to mitigate AML/CFT risks associated with these diverse and high-volume securities transactions.",2025-05-13T07:47:20.077499+00:00,2025-05-13T07:47:20.077499+00:00,2.1,False,,,"[
  {
    ""source_name"": ""amltrix-ml"",
    ""external_id"": ""PS0027"",
    ""url"": ""https://framework.amltrix.com/services-products/PS0027""
  }
]",PS0027,https://framework.amltrix.com/services-products/PS0027
products-service--54c14f13-f5ca-45be-a382-9ef85bc1376a,products-service,Credit Card Services,"Services provided by financial institutions involving the issuance and management of credit cards, allowing individuals and businesses to borrow funds up to a pre-approved limit for purchasing goods and services or cash advances, subject to interest and repayment terms. These services often include rewards and benefits for cardholders.","Credit Card Services enable individuals and businesses to access a revolving credit line for purchases and cash advances, subject to repayment terms and potential rewards. Within AML/CFT adversarial threat modeling, they pose notable risks by allowing rapid, potentially high-volume financial transactions that can obscure illicit flows if not properly monitored.",2025-05-13T07:47:20.077499+00:00,2025-05-13T07:47:20.077499+00:00,2.1,False,,,"[
  {
    ""source_name"": ""amltrix-ml"",
    ""external_id"": ""PS0005"",
    ""url"": ""https://framework.amltrix.com/services-products/PS0005""
  }
]",PS0005,https://framework.amltrix.com/services-products/PS0005
products-service--3143f752-5cf8-4475-910e-07bdca72f7ae,products-service,Money Transfer and Remittance Services,"A broad range of financial services enabling individuals and businesses to send and receive funds both domestically and internationally, including secure transfers through digital platforms or physical agents. Typically offered by banks, money transfer operators, and specialized payment companies, these services support various methods—such as cash transfers, bank transfers, mobile transactions, and digital platforms—and may include currency conversion. They are commonly used for remittances, business payments, and other financial exchanges.","Money Transfer and Remittance Services facilitate domestic and international fund transfers through diverse channels and currency conversions, making them essential for legitimate cross-border financial activities. However, due to their global reach and varied transaction methods, they can also be exploited for money laundering and terrorist financing if not vigilantly monitored in AML/CFT frameworks.",2025-05-13T07:47:20.077499+00:00,2025-05-13T07:47:20.077499+00:00,2.1,False,,,"[
  {
    ""source_name"": ""amltrix-ml"",
    ""external_id"": ""PS0087"",
    ""url"": ""https://framework.amltrix.com/services-products/PS0087""
  }
]",PS0087,https://framework.amltrix.com/services-products/PS0087
products-service--84fe4de5-f373-4e36-a834-755e90eb48e3,products-service,Private Equity and Venture Capital Services,"Services provided by firms that raise and manage investment funds focusing on equity in privately held companies, typically startups or emerging businesses with growth potential. Activities include sourcing investors, evaluating opportunities, and strategically managing portfolio investments to achieve returns through exits such as sales or public offerings.","Private Equity and Venture Capital Services involve raising and managing investment funds for privately held companies, often startups and emerging businesses, with a focus on delivering returns through strategic investments and exits. In the context of AML/CFT adversarial threat modelling, they require robust due diligence, investor screening, and compliance measures to mitigate the risk of illicit financial flows and maintain transparency.",2025-05-13T07:47:20.077499+00:00,2025-05-13T07:47:20.077499+00:00,2.1,False,,,"[
  {
    ""source_name"": ""amltrix-ml"",
    ""external_id"": ""PS0006"",
    ""url"": ""https://framework.amltrix.com/services-products/PS0006""
  }
]",PS0006,https://framework.amltrix.com/services-products/PS0006
products-service--e81bdc64-73bd-495a-87ce-e17b70a3fd78,products-service,Invoice Processing and Management Services,"Services and systems designed to automate and streamline the processing, creation, management, and tracking of invoices for businesses. These offerings facilitate the entire invoicing workflow by handling invoice creation, data entry, invoice matching, and approval processes. They enhance billing accuracy and efficiency while improving cash flow management by integrating with accounting software, providing customizable templates, automated reminders, and robust reporting capabilities.",Invoice Processing and Management Services,2025-05-13T07:47:20.077499+00:00,2025-05-13T07:47:20.077499+00:00,2.1,False,,,"[
  {
    ""source_name"": ""amltrix-ml"",
    ""external_id"": ""PS0007"",
    ""url"": ""https://framework.amltrix.com/services-products/PS0007""
  }
]",PS0007,https://framework.amltrix.com/services-products/PS0007
products-service--5e845f6d-8296-47cd-ade4-e431d580e277,products-service,Intelligent Deposit Machines (IDMs),"Advanced banking terminals allowing customers to deposit cash and checks directly into their accounts without teller assistance. They provide real-time account updates, receipt printing, and can handle multiple currencies, operating 24/7.","Intelligent Deposit Machines (IDMs) are advanced, 24/7 self-service banking terminals that enable customers to deposit cash and checks with real-time account updates and multi-currency handling. In AML/CFT threat modelling, they present a significant risk by potentially facilitating rapid, unsupervised cash transactions, necessitating strong monitoring and detection measures to prevent illicit activities.",2025-05-13T07:47:20.077499+00:00,2025-05-13T07:47:20.077499+00:00,2.1,False,,,"[
  {
    ""source_name"": ""amltrix-ml"",
    ""external_id"": ""PS0022"",
    ""url"": ""https://framework.amltrix.com/services-products/PS0022""
  }
]",PS0022,https://framework.amltrix.com/services-products/PS0022
